aX,aY,aZ,gX,gY,gZ
0.301,0.480,0.080,13.720,26.320,-141.120
0.279,0.498,0.031,12.740,29.120,-141.540
0.290,0.512,-0.034,34.580,36.190,-161.280
0.227,0.570,-0.020,30.870,41.300,-143.290
0.177,0.589,-0.048,40.740,44.030,-145.110
0.174,0.656,-0.224,52.080,68.950,-145.670
0.160,0.759,-0.141,72.380,96.880,-137.550
0.175,0.738,0.246,85.400,104.790,-139.370
0.174,0.545,0.599,85.190,93.170,-160.440
0.174,0.681,0.758,65.100,68.810,-172.830
0.198,0.946,0.695,57.400,57.400,-167.720
0.210,1.114,0.699,53.550,43.190,-154.350
0.184,1.143,0.636,49.770,26.250,-140.980
0.102,1.099,0.460,44.800,17.360,-138.320
0.044,1.045,0.301,36.470,16.520,-142.730
0.016,1.076,0.174,23.240,12.950,-148.820
0.016,1.173,0.006,16.450,16.450,-151.900
0.022,1.351,-0.126,11.830,27.370,-142.870
0.055,1.428,-0.219,15.960,44.520,-131.740
0.080,1.444,-0.240,19.460,61.040,-119.840
0.047,1.363,-0.183,20.160,76.160,-108.220
0.011,1.229,-0.061,12.880,84.490,-113.190
-0.027,1.206,0.054,0.700,89.040,-118.720
-0.062,1.283,0.083,-7.280,92.330,-119.630
-0.080,1.387,0.113,-19.810,93.730,-115.850
-0.087,1.471,0.058,-22.750,97.580,-107.170
-0.120,1.499,0.016,-22.750,108.710,-98.350
-0.149,1.496,0.017,-24.990,114.100,-94.920
-0.193,1.606,-0.085,-25.830,129.710,-84.840
-0.279,1.699,0.008,-25.550,161.770,-67.410
-0.337,1.647,0.297,-25.760,166.740,-56.560
-0.372,1.568,0.476,-28.840,160.720,-50.610
-0.403,1.544,0.518,-34.160,157.850,-42.000
-0.402,1.439,0.570,-46.060,151.900,-39.900
-0.374,1.327,0.529,-67.690,149.240,-46.760
-0.315,1.454,0.421,-91.770,156.940,-46.900
-0.285,1.624,0.449,-91.000,167.790,-34.370
-0.292,1.668,0.701,-86.240,160.370,-21.840
-0.313,1.618,0.765,-87.220,143.780,-15.610
-0.334,1.632,0.668,-91.700,133.630,-4.620
-0.373,1.647,0.539,-97.650,130.060,7.980
-0.404,1.582,0.404,-108.920,129.990,17.290
-0.414,1.522,0.244,-119.560,141.190,30.870
-0.442,1.527,0.203,-125.230,159.530,47.740
-0.479,1.450,0.341,-121.170,172.340,60.340
-0.520,1.324,0.603,-119.000,170.030,65.520
-0.539,1.307,0.580,-119.980,168.980,75.390
-0.554,1.281,0.463,-107.800,184.030,97.790
-0.583,1.071,0.564,-95.550,200.970,102.480
-0.617,0.873,0.794,-92.960,202.440,97.230
-0.607,0.793,0.935,-98.700,198.870,92.330
-0.589,0.800,0.975,-105.280,196.840,91.350
-0.582,0.874,1.049,-118.930,192.430,95.900
-0.574,0.916,1.134,-129.990,180.110,103.810
-0.583,0.895,1.149,-137.830,165.550,111.160
-0.620,0.854,1.021,-138.530,156.520,123.830
-0.667,0.689,0.843,-130.760,162.120,128.100
-0.712,0.550,0.844,-124.530,172.410,123.690
-0.758,0.558,0.975,-122.920,174.090,123.060
-0.807,0.663,1.030,-117.320,176.890,131.390
-0.869,0.730,1.126,-113.960,181.370,147.350
-0.881,0.728,1.259,-122.150,181.440,156.380
-0.984,0.720,1.402,-114.940,174.300,166.670
-1.010,0.690,1.498,-112.280,167.510,176.820
-1.068,0.550,1.575,-100.520,163.450,186.480
-1.088,0.389,1.739,-104.370,155.820,181.720
-1.087,0.268,1.889,-121.800,139.580,167.790
-1.098,0.254,2.061,-147.910,124.180,153.930
-1.087,0.300,2.190,-169.400,106.400,141.400

-1.051,0.386,2.360,-191.100,73.570,131.530
